,Name,Address,Distance to center,Score,Location score,Price (€),Link
0,Hôtel La Sanguine,"Campos Elíseos - 8º distrito, París",2.7,7.8,9.4,492.0,https://www.booking.com/hotel/fr/la-sanguine.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=652359501_266293381_2_2_0_39194&highlighted_blocks=652359501_266293381_2_2_0_39194&matching_block_id=652359501_266293381_2_2_0_39194&sr_pri_blocks=652359501_266293381_2_2_0_39194_49230&from_sustainable_property_sr=1&from=searchresults
1,Sonder Quintinie,"Porte de Versailles - 15º distrito, París",3.8,8.3,,452.0,https://www.booking.com/hotel/fr/residence-quintinie-square.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=132238608_88551844_2_0_0&highlighted_blocks=132238608_88551844_2_0_0&matching_block_id=132238608_88551844_2_0_0&sr_pri_blocks=132238608_88551844_2_0_0__45250&nad_id=b150a70e-b71f-49fd-9045-e40ed2f92f12_2&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IktEOXlYeGFQcElPRkx2eDFNNWZnbkNmL1hVWXJ0b3RybWJJYzlzcSt4M3pGTVl3VTh2WVAvVmlBMkYvOXZRVlBJNU45UEJTQVFOUUtXbDhCRVlPRUh0Slo2ejFRK1hmSGlIS2RacWJsaW02TmhIM3FTalNZeDdjOCs5K2VKc1pTODV6NzFkTmg2cVlhb3JFZm0yZEdCdFdTUUIvd2w2MU9TZ0pWNk50dURtQ0t4d2paSklZTEtGM0U0L0JpODZ2MHJ1dmtxWHN0TGlpbGRWcndVNHFxUUc3dnN4a0p5SUFBVnYxM2lpN2ozbStpMzR3bjdNeU9YYWpDK2ZqODJPRUpQYXZqRUFDbXAxbDJmRGxUbEx1d2lGcHo4V29WajNBRUdYZGFocE13cWthTXIxT3NPRGtyd3Y4bVFPVXhlOGJnZEMvdGhESUF4Vmkza0xzSEx1N25sL1FsT2ViNGU5RGxvTmorREE3REFaQnE1U09mYjNqM3pKSGxqV2hFVjFBa3MyTThORzZMaHpndmVTUGhPUkhmMlZhWGVScTFLSGxKZ29SbFg5eVd5OFVRSzVCc3pnRHdOa00zYW05TjhiWk02Wk5HNzMzMjhOd2VUUFNJcEozT2p5UjA2NU16a1NOYWFDVVJJNTZ2cDJtTVNnL0Rmdlp1TE44SVc5MjhZUGJvMkZncTBuczNjZHF6cDZDYy9HTlhEdXc4Q2Q4LzdRNnBhajhKR0tJSHdiajhmeFU5cGtOb1JuM3Y4NVN0LzhweVcwekpUUmpyT1RsQ2pvVDFUd2NrQ0JtV2FibDkxOERoWC9xVTZsK3FQV0xEVHVxTDd0cFMyNnQzVGtJQStiT2EvUUM5ak5CeWlKcnlRT3RLbVhPaExFTlFFUFhBRS80VjA3aXVnTEp3d3p6N0VHZ2pPRGRtMUJ2cDQrUkhCaURVcXZPZTM5bDJaaVlQcnN1UXBvTThjN2RFVVhBZTV3VnJ1RGt0bm9MOHhyZVg4cE8vcDF0WVJDOHBoNlJTSWJoSDdvV1hkY29zRWtoRTBaNzQ5MkhsSGFydk0vSGhaRVlqQ1I0ekpEcEk4K0FyWXBmU2JWTkxqOWc1bkt3RUxPMXpOYTRFVlV2MUFOdE9XY1ZjSEkySHoyMEtoQ1VPcmgzMndVOVJUeHhLT2lrR0dvcVBWYzZFNk9halY4NFhWRUZPNWRqaExJTjRLRDJZR1pJZDhPRkcwdnk4RE9LWFIzSnJteXNyYmVNSXcyVlRCWFRPMXI5ek1qZ1ZtSlJBRThUdW5mdVpONC9sL0NsTmp5RnFqTGZaMjRMbXNpbFk2WGMvcU4xa0c0Yi8zYndqZi9MNkQxOXlZZm0zUUxaeUZDOXlVcXZDbDBhSUVCK2UyVUpsSFU3UWxiclRsY0NUMEhwM2xWOFRhY24yWllGalZaTVNzS0NTZ2RvdXdVZDVLZFdoVFFsNVNsYTIzTmx0c3ZZTGFRWUhsQzV1RWpROTRYbGZHRWZOQ0tNbmhmT0M2M2dhZDNmeUc4eGd5eWtveDYrMmUvbUNDYkthaWp0QW5jWDIyRXp4UzVSMlFyYU1EUWZLWC9HSkcvTUFCeXZCdk9IL0NrQlBLQXg3ckQ1ZkoxRkpBaHVjZHVEdS9jdEdHZHpiQWFmVGx3TFZaYnJRUEw1VVd6YkhuYzAySk1lVjdRMk5iVSs2dUdpVUI5cm9zcTFHWUE2OWhuSng4N04wbitja25oUXowa2RGWGRoNWZRaUtTSWdRTjJDYW0vUFRNR0F4QVJ4MzV3Q0h6Vm9zUXJ2SzBINFNNZnhsc3R0MmlQUjRFRkY2L1NwckVBS1E0Vnh5SkQ2c0Q2L3E0a1ZtK1pqUjJtQmw0TmNzcStTd0ZUK0Yxa3lMUWR5UytmRFpwUkJuY0VSNllFbGREYjJlL2pxcENEbUlGQXdvMVpjcmNZd21GcHhJQVZ6Snk5M3lzU0lDb0RBT1J4QU1odlY2NUtPT1ZtUDJBb3gwY0VKbDlGMmZ1Z3BQMWRaZnViVThpeDVzNWt4Y1MyL3Vwc1hXbnI4QTZ3TjZITUVrTDdXaXZFL29sR3puSFpvdGt4Mm9TdDZjdW83WW9vZ3dSNDd4N2h2QldnMEk0aFpadzVHdk1tS2EyVU8vQ292dEEvUmN2b3c3WVdaZDQzc3ZNU2NiWHRlcmlVSmpVRHhoZW85U2tsd3A3UjRScXlZMDhSNlZ6dVkvL2lJRXdaZzM2UXdzeGhBaGhHVExIOTZIUHdmb2dWbFpTRUZ6Rmt2and4cm5ZZmFJQ2IyTzZEREhXRnZibnFrY0E3N2RRMGNTYXBJMGpWZVpqb2dtVkg1MWpyZHRRbnRqNk0vczgwcHVoLzVNdUUwSk1VWGp3ZTdFTHowc2UxTTNMQUVHcWw4bjU1QUpDMGdjVkdoVWJTYUxzUVl3dEVTSzhMWWZUY29EQTZLZmljMGhveFZuT05RamVZcVExS0NZbE9qY3NDVnRvYzhiVXRxb1dBdHZJL1hzSzhoQXRiTjlVRnNBUGcrODYxaFcwOEJoYjdqcGxzOExub21rM3N0U2t0UFdaMFF4OFkxaEh5YTkwSjdRSUllRHZyVDRTSDMvMHUxcnR4STN0TkZicmRIc2dJWnFmdG5TL0lwdnFLcWkyelljQnpyT1dEeCsrbHZ3YkJVUjRDd0RUNWFJNEF6RHRCV0lTcjk3N3NoZGhLbW5aZVlVSzRLRHQ2a2xzNUU3bnBsckx3Rmlyam5EMVdNWXl6T0Q2dkxmNVdMNWRYUklPMFdRdmRjWUREQnhuWFJVOFpZYTdpeVYzUHlPSEhiYmszRHF0V0NrOG81bzEwZ0cvdmxISklWMzZaZ0lsSDBTSVU3bVZNYlhzVTAwR2VIRDBycmdBUDV4eUpsUHdoQ05FNEpidmh6UTdIUUVYTTFrcnRJMWFqcURwU1JycU1raHhOaDJ4M0E4YjlnYW5lR3gwN2ROTW5PWTVzUkxXKzgrWW4zVWVwUnozYjBGcFVPOXdwbGhQcGJSditXL1RBUGI3OTlFdSt3M3FDNG9tbTBMU0ZGTWNyMFhvUTlKcEEzQUY3OVBWNGZ2NHVYaFpmSVJNSlh4bHFwQk03cGp0Q01xeGd2ZGZ4aXdkazREZ0I4bmI2K3FmdUw4cDQzeVBXTUkwMVN3Zm5Vc01oRjdkR0RHV2dEUTQxVHVUQm1pQ0Njc3YxUkEvMGcyWGtndmdyYXJMT2ZRMEJ3S0tZVFpTeTRJbHJHWmhHSjlhL21uQ1d5Zm8xSTVBRk1JZU56Y2xrUlNpREcrczh3bDhaOFVoZHl0cDVUMzgzOEF0SU4xS01QMFdWMDVSMDZhVy9KOTZ3PT0ifQ%3D%3D&from=searchresults
2,Hotel Luna Park,"Bastilla - 11º distrito, París",1.8,7.9,,215.0,https://www.booking.com/hotel/fr/luna-park.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=218875404_353164435_0_0_0&highlighted_blocks=218875404_353164435_0_0_0&matching_block_id=218875404_353164435_0_0_0&sr_pri_blocks=218875404_353164435_0_0_0__21510&from=searchresults
3,ibis budget Porte D'Orleans,"Montparnasse - 14º distrito, París",4.5,7.3,,216.0,https://www.booking.com/hotel/fr/ibis-budget-porte-d-orleans-paris-14.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=54201103_94488708_2_2_0&highlighted_blocks=54201103_94488708_2_2_0&matching_block_id=54201103_94488708_2_2_0&sr_pri_blocks=54201103_94488708_2_2_0__21561&from_sustainable_property_sr=1&from=searchresults
4,ibis budget Paris Porte De Montmartre,"Montmartre - 18º distrito, París",5.1,6.1,,179.0,https://www.booking.com/hotel/fr/etap-paris-porte-de-montmartre.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=18302409_94330518_3_2_0&highlighted_blocks=18302409_94330518_3_2_0&matching_block_id=18302409_94330518_3_2_0&sr_pri_blocks=18302409_94330518_3_2_0__17924&from_sustainable_property_sr=1&from=searchresults
5,ibis Budget Paris La Villette 19ème,"La Villette - 19º distrito, París",3.6,7.2,,226.0,https://www.booking.com/hotel/fr/ibis-budget-paris-la-villette.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=65707202_94499488_3_2_0&highlighted_blocks=65707202_94499488_3_2_0&matching_block_id=65707202_94499488_3_2_0&sr_pri_blocks=65707202_94499488_3_2_0__22577&from_sustainable_property_sr=1&from=searchresults
6,hotelF1 Paris Porte de Châtillon,"Montparnasse - 14º distrito, París",4.6,7.3,,170.0,https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=154996007_93782682_2_2_0&highlighted_blocks=154996007_93782682_2_2_0&matching_block_id=154996007_93782682_2_2_0&sr_pri_blocks=154996007_93782682_2_2_0__17016&from_sustainable_property_sr=1&from=searchresults
7,Hotel Leonard De Vinci,"Bastilla - 11º distrito, París",2.0,6.8,,262.0,https://www.booking.com/hotel/fr/leonard-de-vinci.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=5418302_374766451_0_2_0&highlighted_blocks=5418302_374766451_0_2_0&matching_block_id=5418302_374766451_0_2_0&sr_pri_blocks=5418302_374766451_0_2_0__26247&from=searchresults
8,Petit appartement agréable au cœur du 11e arrondissement,"Bastilla - 11º distrito, París",1.8,9.3,10.0,290.0,https://www.booking.com/hotel/fr/petit-appartement-agreable-au-coeur-du-11e-arrondissement.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=1272551701_400035149_2_0_0&highlighted_blocks=1272551701_400035149_2_0_0&matching_block_id=1272551701_400035149_2_0_0&sr_pri_blocks=1272551701_400035149_2_0_0__29045&from=searchresults
9,Hotel des Vosges,"Ménilmontant - 20º distrito, París",2.6,8.0,,259.0,https://www.booking.com/hotel/fr/des-vosges-paris.es.html?aid=304142&label=gen173nr-1FCAQoggI49gNIClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuHw1bgGwAIB0gIkNzRiZTg3YzQtZGZhNi00OTNlLWFlNjEtM2RjZjY4NWQ3MmZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2025-02-13&checkout=2025-02-16&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5dde98308f05027f&srepoch=1729460816&all_sr_blocks=46415901_93950625_0_2_0&highlighted_blocks=46415901_93950625_0_2_0&matching_block_id=46415901_93950625_0_2_0&sr_pri_blocks=46415901_93950625_0_2_0__25860&from=searchresults
